obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
56,0.51793146,3.1192431,0.021972617,-0.16733846,0.0,0.24960925,0.0,0.0,0.0,0.0
57,0.5961439,3.0734518,-0.10941446,0.22225824,0.0,0.25520045,0.0,0.0,0.0,0.0
58,0.61086404,3.079391,-0.16311908,-0.25802892,0.0,0.30026993,0.0,0.0,0.0,0.0
59,0.4259447,3.0969083,0.7585961,-0.3195827,0.0,0.18586327,0.0,0.0,0.0,0.0
60,0.37236077,2.9123702,-0.01746689,-0.35536048,0.0,0.18400754,0.0,0.0,0.0,0.0
61,0.71625745,3.0773196,0.27171445,0.06970499,0.0,0.29709414,0.0,0.0,0.0,0.0
62,0.6006291,3.1457114,0.27505127,-0.05103988,0.0,0.3296907,0.0,0.0,0.0,0.0
63,0.71625745,3.0773196,0.25845322,0.082966246,0.0,0.29709414,0.0,0.0,0.0,0.0
64,0.70363516,2.9157438,-0.07404279,0.27283093,0.0,0.21271992,0.0,0.0,0.0,0.0
65,-0.22970834,1.2418746,-0.10095229,-1.0429368,0.0,0.08028885,0.0,0.0,0.0,0.0
66,0.6904213,1.0818238,-0.04540144,-0.0830752,0.0,0.23853616,0.0,0.0,0.0,0.0
67,-0.120831005,0.8963113,-0.05662267,0.21128379,0.0,0.06838851,0.0,0.0,0.0,0.0
68,-0.20297566,0.9037639,0.14337847,-0.120217144,0.0,0.20242386,0.0,0.0,0.0,0.0
69,-0.08083954,0.1337381,-0.49538857,-0.02049143,0.0,0.13653854,0.0,0.0,0.0,0.0
70,0.03696069,0.8406749,0.23555242,0.17551225,0.0,0.20876995,0.0,0.0,0.0,0.0
71,0.2686821,0.8961731,-0.1596018,0.10217421,0.0,0.10005858,0.0,0.0,0.0,0.0
72,0.30098525,0.5817205,-0.07904874,-0.004938726,0.0,0.17204507,0.0,0.0,0.0,0.0
73,0.64378595,1.5460147,-0.0925236,0.1766311,0.0,0.05824558,0.0,0.0,0.0,0.0
74,0.10279699,0.119051404,0.17243579,-0.069982626,0.0,0.12885147,0.0,0.0,0.0,0.0
75,0.39898103,-0.12552787,-0.14424777,0.69734323,0.0,0.06446906,0.0,0.0,0.0,0.0
76,0.3561353,-0.3144723,-0.2492625,-0.14308685,0.0,0.19669285,0.0,0.0,0.0,0.0
77,0.548301,-0.27911818,-0.3190376,-0.26566854,0.0,0.16887163,0.0,0.0,0.0,0.0
78,-0.0043527815,-0.7835079,-0.09183649,0.46389827,0.0,0.16189134,0.0,0.0,0.0,0.0
79,-0.0139670875,-0.29426804,-0.023665164,-0.2242691,0.0,0.14682953,0.0,0.0,0.0,0.0
80,-0.22468363,-0.08226117,-0.24639249,-0.27647066,0.0,0.19374624,0.0,0.0,0.0,0.0
81,0.0247632,-0.5801839,0.081996955,-0.38352484,0.0,0.1762882,0.0,0.0,0.0,0.0
82,0.09436668,-0.38375843,0.24805538,0.5519765,0.0,0.192649,0.0,0.0,0.0,0.0
83,0.09717618,-0.72480345,0.16409148,0.04264275,0.0,0.13035199,0.0,0.0,0.0,0.0
84,0.20357332,-0.6749611,-0.08552358,0.5290688,0.0,0.16620733,0.0,0.0,0.0,0.0
85,0.19971384,-0.66795635,-0.077089,-0.028185014,0.0,0.15107481,0.0,0.0,0.0,0.0
86,0.18867032,-0.8150748,0.18048795,0.13160121,0.0,0.08321999,0.0,0.0,0.0,0.0
87,0.48271453,-0.73656183,0.23920126,0.058828324,0.0,0.16708548,0.0,0.0,0.0,0.0
88,0.55412483,-0.25946158,0.07711725,-0.030842714,0.0,0.16327669,0.0,0.0,0.0,0.0
89,0.22472714,-0.06734062,-0.31916595,0.21978778,0.0,0.12224923,0.0,0.0,0.0,0.0
90,0.1656568,-0.09487578,0.040874183,-0.14841866,0.0,0.15202993,0.0,0.0,0.0,0.0
91,0.38071725,-0.10857153,-0.23039491,-0.12515521,0.0,0.092613444,0.0,0.0,0.0,0.0
92,0.11959555,0.3528167,-0.08350572,-0.5536583,0.0,0.15411356,0.0,0.0,0.0,0.0
93,-0.11526124,0.68965536,-0.31657726,-0.2673963,0.0,0.15197617,0.0,0.0,0.0,0.0
94,1.0357566,0.050468706,-0.117204346,-0.91800123,0.0,0.13748139,0.0,0.0,0.0,0.0
95,0.21218432,-0.95263404,-0.079950854,-1.555741,0.0,0.113074735,0.0,0.0,0.0,0.0
96,0.21876748,-0.8418851,-0.08741305,-1.4573992,0.0,0.113074735,0.0,0.0,0.0,0.0
97,0.19893472,-0.2671619,-0.07880525,-1.6089844,0.0,0.13063402,0.0,0.0,0.0,0.0
98,0.94788784,0.021930803,-0.04523489,-0.071288206,0.0,0.20149755,0.0,0.0,0.0,0.0
99,0.94041955,0.08110062,-0.008498155,-0.06467269,0.0,0.20104805,0.0,0.0,0.0,0.0
100,0.9401876,1.2441919,-0.22852178,0.29681656,0.0,0.13840923,0.0,0.0,0.0,0.0
101,0.61929214,0.17828925,-0.20575234,-0.62069243,0.0,0.15467525,0.0,0.0,0.0,0.0
102,1.0264615,1.2035725,-0.1254006,0.5552955,0.0,0.28283632,0.0,0.0,0.0,0.0
103,0.9800195,1.4418348,0.22014901,0.12379626,0.0,0.25244862,0.0,0.0,0.0,0.0
